TIME,DISTANCE,HEADING,AD_VALUE,DRIVE_MOTOR_PW,STEERING_SERVO_PW,TARGET_HEADING,HEADING_ERROR
1250,0,1373,247,3481,2730,900,-473
1260,70,1370,247,3481,2730,900,-470
1270,62,1331,247,3481,2730,900,-431
1280,82,1339,247,3481,2730,900,-439
1290,121,1380,247,3481,2730,900,-480
1300,72,1397,247,3481,2730,900,-497
1310,107,1375,247,3481,2730,900,-475
1320,70,1338,247,3481,2730,900,-438
1330,107,1297,247,3481,2730,900,-397
1340,86,1302,247,3481,2730,900,-402
1350,71,1332,247,3481,2730,900,-432
1360,97,1293,247,3481,2730,900,-393
1370,119,1215,247,3481,2730,900,-315
1380,64,1120,247,3481,2730,900,-220
1390,88,980,247,3481,2730,900,-80
1400,63,887,247,3481,2735,900,13
1410,85,857,247,3481,2749,900,43
1420,66,1035,247,3481,2729,900,-135
1430,88,1169,247,3481,2608,900,-269
1440,87,1282,247,3481,2557,900,-382
1450,78,1450,247,3481,2480,900,-550
1460,60,1487,247,3481,2464,900,-587
1470,76,1477,247,3481,2468,900,-577
1480,89,1450,247,3481,2480,900,-550
1490,80,1417,247,3481,2495,900,-517
1500,65,1361,247,3481,2521,900,-461
1510,63,1340,247,3481,2530,900,-440
1520,115,1287,247,3481,2555,900,-387
1530,83,1245,247,3481,2574,900,-345
1540,86,1166,247,3481,2610,900,-266
1550,59,753,247,3481,2796,900,147
1560,61,588,247,3481,2871,900,312
1570,121,479,247,3481,2921,900,421
1580,83,489,247,3481,2916,900,411
1590,67,539,247,3481,2894,900,361
1600,70,564,247,3481,2882,900,336
1610,93,592,247,3481,2870,900,308
1620,75,659,247,3481,2839,900,241
1630,69,686,247,3481,2827,900,214
1640,74,704,247,3481,2819,900,196
1650,66,697,247,3481,2822,900,203
1660,62,696,247,3481,2822,900,204
1670,54,760,247,3481,2793,900,140
1680,47,808,247,3481,2771,900,92
1690,42,903,247,3481,2729,900,-3
1700,34,949,247,3481,2708,900,-49
1710,24,976,247,3481,2696,900,-76
1720,14,980,247,3481,2694,900,-80
1730,12,980,247,2049,2766,900,-80
1740,12,979,247,2049,2765,900,-79
1750,12,978,247,2049,2765,900,-78
1760,12,980,247,2049,2765,900,-80
1770,12,979,247,2049,2765,900,-79
1780,12,979,247,2049,2765,900,-79
1790,13,980,247,2049,2766,900,-80
1800,14,979,247,2049,2765,900,-79
1810,16,979,247,2049,2765,900,-79
1820,19,979,247,2049,2765,900,-79
1830,23,974,247,2049,2763,900,-74
1840,28,947,247,2049,2751,900,-47
1850,35,919,247,2049,2738,900,-19
1860,41,866,247,2049,2715,900,34
1870,48,848,247,2049,2707,900,52
1880,49,827,247,2049,2697,900,73
1890,55,803,247,2049,2686,900,97
1900,60,805,247,2049,2687,900,95
1910,63,845,247,2049,2705,900,55
1920,71,871,247,2049,2717,900,29
1930,60,895,247,2049,2728,900,5
1940,58,910,247,2049,2734,900,-10
1950,73,907,247,2049,2733,900,-7
1960,68,885,247,2049,2724,900,15
1970,66,886,247,2049,2724,900,14
1980,70,905,247,2049,2732,900,-5
1990,69,918,247,2049,2738,900,-18
2000,59,930,247,2049,2743,900,-30
2010,84,960,247,2049,2757,900,-60
2020,74,983,247,2049,2767,900,-83
2030,63,1052,247,2049,2799,900,-152
2040,63,1097,247,2049,2819,900,-197
2050,67,1147,247,2049,2842,900,-247
2060,73,1227,247,2049,2878,900,-327
2070,67,1252,247,2049,2890,900,-352
2080,66,1275,247,2049,2900,900,-375
2090,72,1278,247,2049,2901,900,-378
2100,58,1258,247,2049,2892,900,-358
2110,67,1235,247,2049,2882,900,-335
2120,79,1210,247,2049,2870,900,-310
2130,73,1170,247,2049,2852,900,-270
2140,65,1157,247,2049,2846,900,-257
2150,58,1148,247,2049,2842,900,-248
2160,65,1146,247,2049,2841,900,-246
2170,58,1121,247,2049,2830,900,-221
2180,55,1100,247,2049,2820,900,-200
2190,59,1059,247,2049,2802,900,-159
2200,56,977,247,2049,2765,900,-77
2210,60,936,247,2049,2746,900,-36
2220,73,871,247,2049,2717,900,29
2230,66,894,247,2049,2728,900,6
2240,75,950,247,2049,2752,900,-50
2250,63,1037,247,2049,2792,900,-137
2260,62,1058,247,2049,2801,900,-158
2270,63,1074,247,2049,2809,900,-174
2280,72,1082,247,2049,2812,900,-182
2290,63,1095,247,2049,2818,900,-195
2300,63,1114,247,2049,2827,900,-214
2310,71,1133,247,2049,2835,900,-233
2320,64,1183,247,2049,2858,900,-283
2330,56,1201,247,2049,2866,900,-301
2340,56,1209,247,2049,2870,900,-309
2350,70,1206,247,2049,2869,900,-306
2360,56,1198,247,2049,2867,900,-298
2370,58,1195,247,2049,2864,900,-295
2380,60,1187,247,2049,2860,900,-287
2390,62,1163,247,2049,2849,900,-263
2400,63,1144,247,2049,2840,900,-244
2410,67,1125,247,2049,2832,900,-225
2420,68,1084,247,2049,2813,900,-184
2430,67,1065,247,2049,2805,900,-165
2440,68,1047,247,2049,2796,900,-147
2450,62,1059,247,2049,2802,900,-159
2460,66,1105,247,2049,2823,900,-205
2470,59,1109,247,2049,2825,900,-209
2480,72,1102,247,2049,2821,900,-202
2490,62,1068,247,2049,2806,900,-168
2500,72,1046,247,2049,2796,900,-146
2510,66,1008,247,2049,2779,900,-108
