TIME, HEADING, HEADING_ERROR, STEERING_SERVO_PW, TIME, DISTANCE, AD_VALUE,DRIVE_MOTOR_PW
2740,979,-179,2649,2740,0,247,3481
2750,1027,-181,2648,2750,97,247,3481
2760,1113,-313,2588,2760,62,247,3481
2770,1176,-376,2560,2770,73,247,3481
2780,1226,-426,2537,2780,82,247,3481
2790,1222,-422,2539,2790,70,247,3481
2800,1194,-394,2551,2800,73,247,3481
2810,1151,-351,2571,2810,60,247,3481
2820,1034,-234,2624,2820,106,247,3481
2830,489,311,2871,2830,90,247,3481
2840,333,467,2942,2840,103,247,3481
2850,248,552,2980,2850,105,247,3481
2860,254,546,2978,2860,81,247,3481
2870,293,507,2960,2870,71,247,3481
2880,322,478,2947,2880,365,247,3481
2890,359,441,2930,2890,79,247,3481
2900,463,337,2883,2900,77,247,3481
2910,548,252,2844,2910,71,247,3481
2920,1047,-247,2618,2920,66,247,3481
2930,1289,-489,2508,2930,61,247,3481
2940,1423,-623,2447,2940,75,247,3481
2950,1405,-605,2455,2950,91,247,3481
2960,1365,-565,2474,2960,78,247,3481
2970,1244,-444,2529,2970,60,247,3481
2980,1168,-368,2563,2980,57,247,3481
2990,1024,-224,2629,2990,70,247,3481
3000,948,-148,2663,3000,71,247,3481
3010,825,-25,2719,3010,58,247,3481
3020,802,-2,2730,3020,75,247,3481
3030,795,5,2732,3030,71,247,3481
3040,828,-28,2718,3040,57,247,3481
3050,854,-54,2706,3050,73,247,3481
3060,998,-198,2640,3060,80,247,3481
3070,1074,-274,2606,3070,91,247,3481
3080,1169,-369,2563,3080,82,247,3481
3090,1170,-370,2562,3090,62,247,3481
3100,1154,-354,2570,3100,60,247,3481
3110,1127,-327,2582,3110,91,247,3481
3120,1103,-303,2593,3120,256,247,3481
3130,998,-198,2640,3130,65,247,3481
3140,936,-136,2669,3140,73,247,3481
3150,854,-54,2706,3150,82,247,3481
3160,852,-52,2707,3160,78,247,3481
3170,885,-85,2692,3170,78,247,3481
3180,917,-117,2677,3180,69,247,3481
3190,949,-149,2663,3190,60,247,3481
3200,969,-169,2654,3200,63,247,3481
3210,955,-155,2660,3210,9,247,3481
3220,838,38,2747,3220,6,247,2049
3230,820,20,2739,3230,5,247,2049
3240,823,23,2740,3240,149,247,2049
3250,824,24,2740,3250,60,247,2049
3260,825,25,2741,3260,66,247,2049
3270,829,29,2743,3270,60,247,2049
3280,833,33,2745,3280,60,247,2049
3290,862,62,2758,3290,57,247,2049
3300,884,84,2768,3300,57,247,2049
3310,905,105,2777,3310,56,247,2049
3320,928,128,2788,3320,62,247,2049
3330,933,133,2790,3330,72,247,2049
3340,908,108,2779,3340,64,247,2049
3350,886,86,2769,3350,66,247,2049
3360,836,36,2746,3360,65,247,2049
3370,817,17,2737,3370,74,247,2049
3380,802,2,2730,3380,76,247,2049
3390,792,-8,2727,3390,68,247,2049
3400,794,-6,2728,3400,75,247,2049
3410,817,17,2737,3410,95,247,2049
3420,844,44,2750,3420,96,247,2049
3430,926,126,2787,3430,60,247,2049
3440,959,159,2802,3440,71,247,2049
3450,984,184,2813,3450,63,247,2049
3460,1003,203,2822,3460,58,247,2049
3470,999,199,2820,3470,64,247,2049
3480,962,162,2803,3480,66,247,2049
3490,950,150,2798,3490,65,247,2049
3500,949,149,2797,3500,66,247,2049
3510,928,128,2788,3510,68,247,2049
3520,887,87,2769,3520,56,247,2049
3530,734,-66,2700,3530,79,247,2049
3540,640,-160,2658,3540,65,247,2049
3550,467,-333,2579,3550,63,247,2049
3560,406,-394,2551,3560,63,247,2049
3570,362,-438,2531,3570,79,247,2049
3580,357,-443,2529,3580,60,247,2049
3590,372,-428,2536,3590,65,247,2049
3600,419,-381,2557,3600,56,247,2049
3610,451,-349,2572,3610,56,247,2049
3620,520,-280,2603,3620,65,247,2049
3630,555,-245,2619,3630,65,247,2049
3640,636,-164,2656,3640,77,247,2049
3650,670,-130,2671,3650,62,247,2049
3660,707,-93,2688,3660,57,247,2049
3670,802,2,2730,3670,70,247,2049
3680,853,53,2754,3680,72,247,2049
3690,930,130,2789,3690,60,247,2049
3700,950,150,2798,3700,77,247,2049
3710,972,172,2808,3710,72,247,2049
3720,972,172,2808,3720,57,247,2049
3730,970,170,2807,3730,60,247,2049
3740,970,170,2807,3740,58,247,2049
3750,967,167,2805,3750,68,247,2049
3760,937,137,2792,3760,57,247,2049
3770,907,107,2778,3770,60,247,2049
3780,821,21,2739,3780,64,247,2049
3790,775,-25,2719,3790,57,247,2049
3800,704,-63,2702,3800,60,247,2049
3810,682,-118,2677,3810,68,247,2049
3820,649,-151,2662,3820,56,247,2049
3830,617,-183,2647,3830,62,247,2049
3840,603,-197,2641,3840,62,247,2049
3850,578,-222,2630,3850,58,247,2049
3860,576,-224,2629,3860,73,247,2049
3870,614,-186,2646,3870,176,247,2049
3880,666,-134,2670,3880,58,247,2049
3890,723,-77,2695,3890,67,247,2049
3900,863,63,2758,3900,63,247,2049
3910,934,134,2790,3910,68,247,2049
3920,1004,204,2822,3920,60,247,2049
3930,1010,210,2825,3930,60,247,2049
3940,974,205,2823,3940,62,247,2049

