TIME, HEADING, HEADING_ERROR, STEERING_SERVO_PW, DISTANCE, AD_VALUE,DRIVE_MOTOR_PW
5980,1586,-686,2419,0,247,3481
5990,1575,-675,2424,73,247,3481
6000,1443,-543,2484,62,247,3481
6010,1354,-454,2524,69,247,3481
6020,1054,-154,2660,58,247,3481
6030,718,182,2812,65,247,3481
6040,362,538,2974,84,247,3481
6050,284,616,3010,79,247,3481
6060,230,670,3034,75,247,3481
6070,175,725,3059,79,247,3481
6080,174,726,3060,67,247,3481
6090,220,680,3039,88,247,3481
6100,253,647,3024,65,247,3481
6110,339,606,3005,60,247,3481
6120,386,514,2963,63,247,3481
6130,438,462,2940,63,247,3481
6140,552,348,2888,60,247,3481
6150,605,295,2864,73,247,3481
6160,689,211,2825,60,247,3481
6170,722,178,2810,54,247,3481
6180,774,152,2799,46,247,3481
6190,800,100,2775,37,247,3481
6200,825,75,2764,28,247,3481
6210,884,16,2737,18,247,3481
6220,876,-24,2720,65,247,2049
6230,879,-21,2721,82,247,2049
6240,877,-23,2720,82,247,2049
6250,879,-21,2721,81,247,2049
6260,884,-16,2723,65,247,2049
6270,881,-19,2722,57,247,2049
6280,877,-23,2720,58,247,2049
6290,870,-30,2717,62,247,2049
6300,852,-48,2709,20,247,2049
6310,846,-54,2706,24,247,2049
6320,840,-60,2703,28,247,2049
6330,824,-76,2696,34,247,2049
6340,817,-83,2693,41,247,2049
6350,813,-87,2691,47,247,2049
6360,808,-92,2689,55,247,2049
6370,786,-114,2679,63,247,2049
6380,769,-131,2671,72,247,2049
6390,748,-152,2661,62,247,2049
6400,698,-202,2639,80,247,2049
6410,683,-217,2632,68,247,2049
6420,671,-229,2626,74,247,2049
6430,671,-229,2626,67,247,2049
6440,703,-197,2641,66,247,2049
6450,734,-166,2655,93,247,2049
6460,771,-129,2672,66,247,2049
6470,825,-75,2696,61,247,2049
6480,835,-65,2701,70,247,2049
6490,862,-38,2713,62,247,2049
6500,883,-17,2723,66,247,2049
6510,956,56,2755,62,247,2049
6520,988,88,2770,57,247,2049
6530,1017,117,2783,75,247,2049
6540,1058,158,2801,55,247,2049
6550,1073,173,2808,57,247,2049
6560,1081,181,2812,63,247,2049
6570,1069,169,2806,67,247,2049
6580,975,75,2764,86,247,2049
6590,888,-12,2725,60,247,2049
6600,817,-83,2693,58,247,2049
6610,791,-109,2681,61,247,2049
6620,816,-84,2692,69,247,2049
6630,895,-5,2728,69,247,2049
6640,929,29,2743,70,247,2049
6650,962,62,2758,60,247,2049
6660,955,55,2755,61,247,2049
6670,939,39,2747,58,247,2049
6680,903,3,2731,58,247,2049
6690,901,1,2730,57,247,2049
6700,913,13,2735,65,247,2049
6710,933,33,2745,70,247,2049
6720,983,83,2767,57,247,2049
6730,1007,107,2778,58,247,2049
6740,1025,125,2786,64,247,2049
6750,1076,176,2810,56,247,2049
6760,1104,204,2822,56,247,2049
6770,1134,234,2836,65,247,2049
6780,1132,232,2835,62,247,2049
6790,1070,170,2807,57,247,2049
6800,1003,103,2776,68,247,2049
6810,816,-84,2692,66,247,2049
6820,752,-148,2663,62,247,2049
6830,708,-192,2643,60,247,2049
6840,539,-361,2566,61,247,2049
6850,304,-596,2460,68,247,2049
