TIME,HEADING,HEADING_ERROR,STEERING_SERVO_PW,DISTANCE,AD_VALUE,DRIVE_MOTOR_PW
5200,845,55,2755,65,247,3382
5210,895,5,2732,60,247,3382
5220,896,4,2731,63,247,3382
5230,858,42,2749,63,247,3382
5240,833,67,2760,70,247,3382
5250,807,93,2772,70,247,3382
5260,769,131,2789,62,247,3382
5270,752,148,2797,62,247,3382
5280,728,172,2808,67,247,3382
5290,711,189,2815,64,247,3382
5300,680,220,2830,60,247,3382
5310,676,224,2831,67,247,3382
5320,682,218,2829,63,247,3382
5330,700,200,2820,62,247,3382
5340,714,186,2814,57,247,3382
5350,765,135,2791,72,247,3382
5360,797,103,2776,58,247,3382
5370,868,32,2744,73,247,3382
5380,908,-8,2727,76,247,3382
5390,949,-49,2708,57,247,3382
5400,1013,-113,2679,63,247,3382
5410,1035,-135,2669,64,247,3382
5420,1064,-164,2656,62,247,3382
5430,1067,-167,2655,62,247,3382
5440,1048,-148,2663,61,247,3382
5450,1035,-135,2669,62,247,3382
5460,1022,-122,2675,71,247,3382
5470,974,-74,2697,57,247,3382
5480,945,-45,2710,67,247,3382
5490,887,13,2735,62,247,3382
5500,848,52,2753,71,247,3382
5510,788,112,2780,58,247,3382
5520,794,106,2778,51,247,3382
5530,819,81,2766,10,247,3382
5540,834,-66,2700,54,247,2148
5550,827,-73,2697,55,247,2148
5560,830,-70,2699,55,247,2148
5570,831,-69,2699,55,247,2148
5580,834,-66,2700,55,247,2148
5590,835,-65,2701,56,247,2148
5600,841,-59,2704,56,247,2148
5610,851,-49,2708,56,247,2148
5620,857,-43,2711,55,247,2148
5630,851,-49,2708,61,247,2148
5640,843,-57,2705,62,247,2148
5650,837,-63,2702,59,247,2148
5660,853,-47,2709,72,247,2148
5670,918,-21,2721,60,247,2148
5680,944,44,2750,58,247,2148
5690,973,73,2763,62,247,2148
5700,1008,108,2779,64,247,2148
5710,1024,124,2786,58,247,2148
5720,1047,147,2796,66,247,2148
5730,1053,153,2799,60,247,2148
5740,1056,156,2800,56,247,2148
5750,1055,155,2800,57,247,2148
5760,1055,155,2800,55,247,2148
5770,1051,151,2798,58,247,2148
5780,1044,144,2795,62,247,2148
5790,1012,112,2780,58,247,2148
5800,990,90,2770,64,247,2148
5810,935,35,2745,65,247,2148
5820,899,-1,2730,65,247,2148
5830,864,-36,2714,62,247,2148
5840,805,-95,2687,60,247,2148
5850,785,-115,2678,60,247,2148
5860,758,-142,2666,61,247,2148
5870,748,-152,2661,59,247,2148
5880,742,-158,2659,60,247,2148
5890,749,-151,2662,62,247,2148
5900,761,-139,2667,57,247,2148
5910,787,-113,2679,58,247,2148
5920,799,-101,2685,58,247,2148
5930,836,-64,2701,58,247,2148
5940,867,-33,2715,56,247,2148
5950,912,12,2735,64,247,2148
5960,960,60,2757,66,247,2148
5970,975,75,2764,57,247,2148
5980,1001,101,2775,56,247,2148
5990,1012,112,2780,55,247,2148
6000,1027,127,2787,61,247,2148
6010,1030,130,2789,58,247,2148
6020,1028,128,2788,57,247,2148
6030,1028,128,2788,58,247,2148
6040,1026,126,2787,60,247,2148
6050,1010,110,2780,64,247,2148
6060,992,92,2771,68,247,2148
6070,942,42,2749,61,247,2148
6080,917,17,2737,59,247,2148
6090,906,6,2732,60,247,2148
6100,915,15,2736,58,247,2148
6110,939,39,2747,56,247,2148
6120,988,88,2770,67,247,2148
6130,1012,112,2780,59,247,2148
6140,1053,153,2799,66,247,2148
6150,1063,163,2804,62,247,2148
6160,1082,182,2812,62,247,2148
6170,1084,184,2813,84,247,2148
6180,1082,182,2812,57,247,2148
6190,1077,177,2810,56,247,2148
6200,1070,170,2807,85,247,2148
6210,1057,157,2801,61,247,2148
6220,1052,152,2799,61,247,2148
6230,1025,125,2786,58,247,2148
6240,1010,110,2780,58,247,2148
6250,990,90,2770,57,247,2148
6260,940,40,2748,56,247,2148
6270,902,2,2730,65,247,2148
6280,830,-70,2699,66,247,2148
6290,802,-98,2686,58,247,2148
6300,781,-114,2679,61,247,2148
6310,795,-105,2683,65,247,2148
6320,820,-80,2694,58,247,2148
6330,915,15,2736,63,247,2148
6340,976,76,2764,65,247,2148
6350,1086,186,2814,59,247,2148
6360,1124,224,2831,62,247,2148
6370,1162,262,2849,60,247,2148
6380,1162,262,2849,57,247,2148
6390,1142,242,2840,66,247,2148
6400,1031,131,2789,56,247,2148
