TIME,DRIVE_MOTOR_PW,STEERING_SERVO_PW,GX,GY
1457,2265,2845,0,0
1458,2265,2845,0,0
1459,2265,2845,0,0
1460,2265,2845,0,0
1461,2265,2845,0,0
1462,2265,2845,0,0
1463,2265,2845,0,0
1464,2265,2845,0,0
1465,2265,2845,0,0
1466,2265,2845,0,0
1467,2265,2845,0,0
1468,2265,2845,0,0
1469,2265,2845,0,0
1470,2265,2845,0,0
1471,2028,3340,-32,0
1472,2028,3340,-32,0
1473,2028,3340,-32,0
1474,2028,3340,-32,0
1475,2028,3340,-32,0
1477,2028,3340,-32,0
1478,2028,3340,-32,0
1479,2028,3340,-32,0
1480,2028,3340,-32,0
1481,2028,3340,-48,-80
1484,2028,3340,-48,-80
1485,2028,3340,-48,-80
1486,2028,3340,-48,-80
1487,2028,3340,-48,-80
1488,2028,3340,-48,-80
1489,2028,3340,-48,-80
1490,2028,3340,-48,-80
1491,2685,2305,32,56
1492,2765,2305,32,56
1493,2765,2305,32,56
1494,2765,2305,32,56
1495,2765,2305,32,56
1496,2765,2305,32,56
1497,2765,2305,32,56
1498,2765,2305,32,56
1499,2765,2305,32,56
1500,2765,2305,32,56
1501,2028,2845,0,-24
1503,2028,2845,0,-24
1504,2028,2845,0,-24
1506,2028,2845,0,-24
1507,2028,2845,0,-24
1509,2028,2845,0,-24
1510,2028,2845,0,-24
1511,2765,2845,0,0
1512,2765,2845,0,0
1513,2765,2845,0,0
1514,2765,2845,0,0
1515,2765,2845,0,0
1516,2765,2845,0,0
1517,2765,2845,0,0
1518,2765,2845,0,0
1519,2765,2845,0,0
1520,2765,2845,0,0
1521,2028,2845,0,-24
1522,2028,2845,0,-24
1523,2028,2845,0,-24
1524,2028,2845,0,-24
1525,2028,2845,0,-24
1526,2028,2845,0,-24
1527,2028,2845,0,-24
1528,2028,2845,0,-24
1529,2028,2845,0,-24
1530,2028,2845,0,-24
1531,2028,2845,0,-48
1532,2028,2845,0,-48
1533,2028,2845,0,-48
