TIME,DRIVE_MOTOR_PW,STEERING_SERVO_PW,GX,GY
1277,2765,2900,0,0
1278,2765,2900,0,0
1279,2765,2900,0,0
1280,2765,2900,0,0
1281,2765,2900,0,0
1282,2765,2900,0,0
1283,2765,2900,0,0
1284,2765,2900,0,0
1285,2765,2900,0,0
1286,2765,2900,0,0
1287,2765,2900,0,0
1288,2765,2900,0,0
1289,2765,2900,0,0
1290,2765,2900,0,0
1291,3505,2900,0,-32
1292,3505,2900,0,-32
1293,3505,2900,0,-32
1294,3505,2900,0,-32
1295,3505,2900,0,-32
1296,3505,2900,0,-32
1297,3505,2900,0,-32
1298,3341,2900,0,-32
1299,3505,2900,0,-32
1300,3505,2900,0,-32
1301,3505,2900,0,-32
1302,3505,2900,0,-32
1303,3505,2900,0,-32
1304,3505,2900,0,-32
1305,4365,2900,0,-32
1306,3505,2900,0,-36
1307,3505,2900,0,-36
1308,3505,2900,0,-36
1309,3505,2900,0,-36
1310,3505,2900,0,-36
1311,3505,2900,0,-36
1312,3505,2900,0,-36
1313,3505,2900,0,-36
1314,3505,2900,0,-36
1315,3505,2900,0,-36
1316,3505,2900,0,-36
1317,3505,2900,0,-36
1318,3505,2900,0,-36
1319,3505,2900,0,-36
1320,3505,2900,0,-36
1321,1765,2150,-20,40
1322,2028,2150,-20,40
1323,2028,2150,-20,40
1324,2028,2150,-20,40
1325,2028,2150,-20,40
1326,2028,2150,-20,40
1327,2028,2150,-20,40
1328,2028,1900,-20,40
1329,1765,2150,-20,40
1330,2028,2150,-20,40
1331,2028,2150,-20,40
1332,2021,2150,-20,40
1333,2028,2150,-20,40
1334,2028,2150,-20,40
1335,2028,2150,-20,40
1336,3505,2900,0,-40
1337,3505,2900,0,-40
1338,3505,2900,0,-40
1339,4765,2900,0,-40
1340,3505,2900,0,-40
1341,3505,2900,0,-40
1342,3505,2900,0,-40
1343,3505,2900,0,-40
1344,3505,2900,0,-40
1345,3505,2900,0,-40
1346,3505,2900,0,-40
1347,3505,2900,0,-40
1348,3505,2900,0,-40
1349,4765,2900,0,-40
1350,3505,2900,0,-40
1351,2028,2900,0,48
1352,2028,2900,0,48
1353,365,2900,0,48
1354,365,2900,0,48
1355,2028,2900,0,48
1356,2028,2900,0,48
1357,2028,2900,0,48
1358,2028,2900,0,48
1359,2028,2900,0,48
