TIME,DRIVE_MOTOR_PW,STEERING_SERVO_PW,GX,GY
1612,2765,2900,0,0
1613,2765,2900,0,0
1614,2765,2900,0,0
1615,2765,2900,0,0
1616,2765,2900,0,0
1617,2765,2900,0,0
1618,2765,2900,0,0
1619,2765,2900,0,0
1620,2765,2900,0,0
1621,2028,3350,-20,-112
1622,2028,3350,-20,-112
1623,2028,3350,-20,-112
1624,2028,3350,-20,-112
1627,2028,3350,-20,-112
1629,2028,3350,-20,-112
1630,2028,3350,-20,-112
1631,2028,3350,-20,-112
1632,2028,3350,-20,-112
1633,2028,3350,-20,-112
1634,2028,3350,-20,-112
1638,1813,2150,20,-168
1639,2028,2150,20,-168
1640,2028,2150,20,-168
1641,2028,2150,20,-168
1642,2028,2150,20,-168
1643,2028,2150,20,-168
1644,2028,2150,20,-168
1645,2028,2150,20,-168
1646,2028,2150,20,-168
1647,2028,2150,20,-168
1648,2028,2150,20,-168
1649,2028,2150,20,-168
1650,2028,1900,20,-168
1651,2028,2900,0,-108
1652,2028,2900,0,-108
1653,2028,2900,0,-108
1654,2028,2900,0,-108
1655,2028,2900,0,-108
1656,2028,2900,0,-108
1657,2028,2900,0,-108
1658,1973,2900,0,-108
1659,2028,2900,0,-108
1660,2028,2900,0,-108
1661,2028,2900,0,-108
1662,2028,2900,0,-108
1663,2028,2900,0,-108
1664,2028,2900,0,-108
1665,2028,2900,0,-108
1666,2028,2900,0,-92
1667,2028,2900,0,-92
1668,2028,2900,0,-92
1669,2028,2900,0,-92
1670,2028,2900,0,-92
1671,2028,2900,0,-92
1672,2028,2900,0,-92
1673,2028,2900,0,-92
1674,2028,2900,0,-92
1675,2028,2900,0,-92
1676,2028,2900,0,-92
1677,2028,2900,0,-92
1678,2028,2900,0,-92
1679,2028,2900,0,-92
1680,2028,2900,0,-92
1681,2028,2900,0,-92
1682,2028,2900,0,-92
1683,2028,2900,0,-92
1684,2028,2900,0,-92
1685,2028,2900,0,-92
1686,2028,2900,0,-92
1687,2028,2900,0,-92
1688,2028,2900,0,-92
1689,2028,2900,0,-92
1690,2028,2900,0,-92
1691,2028,2900,0,-92
1692,2028,2900,0,-92
1693,2028,2900,0,-92
1694,2028,2900,0,-92
1695,2028,2900,0,-92
1696,2028,3350,-60,-88
1697,2028,3350,-60,-88
1698,2028,3350,-60,-88
1699,2028,3350,-60,-88
1700,2028,3350,-60,-88
1701,2028,3350,-60,-88
1702,2028,3350,-60,-88
1704,2028,3350,-60,-88
1705,2028,3350,-60,-88
1706,2028,3350,-60,-88
1707,2028,3350,-60,-88
1708,2028,3350,-60,-88
