TIME,DRIVE_MOTOR_PW,STEERING_SERVO_PW,GX,GY
1987,2765,2950,0,0
1988,2765,2950,0,0
1989,2765,2950,0,0
1990,2765,2950,0,0
1991,2765,2950,0,0
1992,2765,2950,0,0
1993,2765,2950,0,0
1994,2765,2950,0,0
1995,2765,2950,0,0
1996,2028,2950,0,-52
1997,2028,2950,0,-52
1998,2028,2950,0,-52
1999,2028,2950,0,-52
2000,2028,2950,0,-52
2001,2028,2950,0,-52
2002,2028,2950,0,-52
2004,2028,2950,0,-52
2005,2028,2950,0,-52
2006,2028,2950,0,-52
2007,2028,2950,0,-52
2008,2028,2950,0,-52
2009,2028,2950,0,-52
2010,2028,2950,0,-52
2011,2028,2150,20,-24
2012,2028,2150,20,-24
2013,2028,2150,20,-24
2014,2028,1950,20,-24
2015,2028,1950,20,-24
2016,2028,1950,20,-24
2017,2028,2150,20,-24
2018,2028,2150,20,-24
2019,2028,2150,20,-24
2020,2028,2150,20,-24
2021,2028,2150,20,-24
2022,2028,2150,20,-24
2023,2028,2150,20,-24
2024,2028,2150,20,-24
2025,2028,2150,20,-24
2026,2028,2950,0,-36
2027,2028,2950,0,-36
2028,2028,2950,0,-36
2029,2028,2950,0,-36
2030,2028,2950,0,-36
2031,2028,2950,0,-36
2032,2028,2950,0,-36
2033,2028,2950,0,-36
2034,2028,2950,0,-36
2035,2028,2950,0,-36
2036,2028,2950,0,-36
2037,2028,2950,0,-36
2038,2028,2950,0,-36
2039,2028,2950,0,-36
2040,2028,2950,0,-36
2056,2028,2950,0,-20
2070,2028,2950,0,-20
2071,2028,2950,0,-24
2072,2028,2950,0,-24
2073,2028,2950,0,-24
2074,2028,2950,0,-24
2075,2028,2950,0,-24
2076,2028,2950,0,-24
2077,2028,2950,0,-24
2078,2028,2950,0,-24
2079,2028,2950,0,-24
2080,2028,2950,0,-24
2081,2028,2950,0,-24
2082,2028,2950,0,-24
2083,2028,2950,0,-24
2084,2028,2950,0,-24
2085,2028,2950,0,-24
2086,2028,2150,20,-40
2087,2028,2150,20,-40
2088,2028,2150,20,-40
2089,2028,2150,20,-40
2090,2028,2150,20,-40
2091,2028,2150,20,-40
2092,2028,2150,20,-40
2093,2028,2150,20,-40
