TIME,DISTANCE,CURRENT_HEADING,TAIL_FAN_PW,LEFT_FAN_PW,RIGHT_FAN_PW
0,0,1849,2765,2028,3502
1,0,1852,2765,2028,3502
2,0,1809,2765,2028,3502
3,0,1773,2765,2028,3502
4,0,1777,2765,2028,3502
5,0,1777,2765,2028,3502
6,0,1782,2765,2028,3502
7,0,1784,2765,2028,3502
8,0,1783,2765,2028,3502
9,0,1783,2765,2028,3502
10,0,1779,2765,2028,3502
11,0,1772,2765,2028,3502
12,0,1759,2765,2028,3502
13,0,1744,2765,2028,3502
14,0,1744,2765,2028,3502
15,0,1730,2765,2028,3502
16,0,1714,2765,2028,3502
17,0,1697,2765,2028,3502
18,0,1675,2765,2028,3502
19,0,1675,2765,2028,3502
20,0,1648,2765,2028,3502
21,0,1619,2765,2028,3502
22,0,1588,2765,2028,3502
23,0,1556,2765,2053,3477
24,0,1556,2765,2053,3477
25,51,1518,2765,2129,3401
26,51,1477,2765,2211,3319
27,51,1445,2765,2275,3255
28,51,1413,2765,2339,3191
29,51,1413,2765,2339,3191
30,51,1363,2765,2439,3091
31,51,1307,2765,2551,2979
32,51,1250,2765,2665,2865
33,51,1108,2765,2949,2581
34,51,1108,2765,2949,2581
35,51,1054,2765,3057,2473
36,51,998,2765,3169,2361
37,51,934,2765,3297,2233
38,51,870,2765,3425,2105
39,51,870,2765,3425,2105
40,51,810,2765,3502,2028
41,51,746,2765,3502,2028
42,51,678,2765,3502,2028
43,51,611,2765,3502,2028
44,51,611,2765,3502,2028
45,51,542,2765,3502,2028
46,51,472,2765,3502,2028
47,51,401,2765,3502,2028
48,51,330,2765,3502,2028
49,51,330,2765,3502,2028
50,69,261,2765,3502,2028
51,69,197,2765,3502,2028
52,69,133,2765,3502,2028
53,69,71,2765,3502,2028
54,69,71,2765,3502,2028
55,69,11,2765,3502,2028
56,69,3567,2765,3502,2028
57,69,3525,2765,3502,2028
58,69,3488,2765,3502,2028
59,69,3488,2765,3502,2028
60,69,3454,2765,3502,2028
61,69,3421,2765,3502,2028
62,69,3395,2765,3502,2028
63,69,3370,2765,3502,2028
64,69,3370,2765,3502,2028
65,69,3347,2765,3502,2028
66,69,3330,2765,3502,2028
67,69,3315,2765,3502,2028
68,69,3302,2765,3502,2028
69,69,3302,2765,3502,2028
70,69,3293,2765,3502,2028
71,69,3290,2765,3502,2028
72,69,3292,2765,3502,2028
73,69,3294,2765,3502,2028
74,69,3294,2765,3502,2028
75,82,3296,2765,3502,2028
76,82,3307,2765,3502,2028
77,82,3323,2765,3502,2028
78,82,3338,2765,3502,2028
79,82,3338,2765,3502,2028
80,82,3355,2765,3502,2028
81,82,3376,2765,3502,2028
82,82,3399,2765,3502,2028
83,82,3428,2765,3502,2028
84,82,3428,2765,3502,2028
85,82,3458,2765,3502,2028
86,82,3488,2765,3502,2028
87,82,3523,2765,3502,2028
88,82,3564,2765,3502,2028
89,82,3564,2765,3502,2028
90,82,5,2765,3502,2028
91,82,63,2765,3502,2028
92,82,122,2765,3502,2028
93,82,184,2765,3502,2028
94,82,184,2765,3502,2028
95,82,246,2765,3502,2028
96,82,309,2765,3502,2028
97,82,372,2765,3502,2028
98,82,435,2765,3502,2028
99,82,435,2765,3502,2028
100,77,500,2765,3502,2028
101,77,567,2765,3502,2028
102,77,636,2765,3502,2028
103,77,710,2765,3502,2028
104,77,710,2765,3502,2028
105,77,775,2765,3502,2028
106,77,839,2765,3487,2043
107,77,912,2765,3341,2189
108,77,984,2765,3197,2333
109,77,984,2765,3197,2333
110,77,1055,2765,3055,2475
111,77,1208,2765,2749,2781
112,77,1302,2765,2561,2969
113,77,1388,2765,2389,3141
114,77,1388,2765,2389,3141
115,77,1466,2765,2233,3297
116,77,1544,2765,2077,3453
117,77,1618,2765,2028,3502
118,77,1685,2765,2028,3502
119,77,1685,2765,2028,3502
120,77,1748,2765,2028,3502
121,77,1809,2765,2028,3502
122,77,1886,2765,2028,3502
123,77,1961,2765,2028,3502
124,77,1961,2765,2028,3502
125,77,2032,2765,2028,3502
126,77,2112,2765,2028,3502
127,77,2198,2765,2028,3502
128,77,2275,2765,2028,3502
129,77,2275,2765,2028,3502
130,77,2349,2765,2028,3502
131,77,2422,2765,2028,3502
132,77,2489,2765,2028,3502
133,77,2551,2765,2028,3502
134,77,2551,2765,2028,3502
135,77,2609,2765,2028,3502
136,77,2656,2765,2028,3502
137,77,2738,2765,2028,3502
138,77,2810,2765,2028,3502
139,77,2810,2765,2028,3502
140,77,2876,2765,2028,3502
141,77,2939,2765,2028,3502
142,77,3000,2765,2028,3502
143,77,3056,2765,3502,2028
144,77,3056,2765,3502,2028
145,77,3082,2765,3502,2028
146,77,3108,2765,3502,2028
147,77,3152,2765,3502,2028
148,77,3190,2765,3502,2028
149,77,3190,2765,3502,2028
150,65,3229,2765,3502,2028
151,65,3272,2765,3502,2028
152,65,3311,2765,3502,2028
153,65,3354,2765,3502,2028
154,65,3354,2765,3502,2028
155,65,3407,2765,3502,2028
156,65,3457,2765,3502,2028
157,65,3495,2765,3502,2028
158,65,3524,2765,3502,2028
159,65,3554,2765,3502,2028
160,65,3554,2765,3502,2028
161,65,3588,2765,3502,2028
162,65,31,2765,3502,2028
163,65,80,2765,3502,2028
164,65,80,2765,3502,2028
165,65,135,2765,3502,2028
166,65,191,2765,3502,2028
167,65,245,2765,3502,2028
168,65,299,2765,3502,2028
169,65,299,2765,3502,2028
170,65,360,2765,3502,2028
171,65,420,2765,3502,2028
172,65,475,2765,3502,2028
173,65,536,2765,3502,2028
174,65,536,2765,3502,2028
175,90,597,2765,3502,2028
176,90,657,2765,3502,2028
177,90,719,2765,3502,2028
178,90,781,2765,3502,2028
179,90,781,2765,3502,2028
180,90,844,2765,3477,2053
181,90,907,2765,3351,2179
182,90,972,2765,3221,2309
183,90,1038,2765,3089,2441
184,90,1038,2765,3089,2441
185,90,1105,2765,2955,2575
186,90,1270,2765,2625,2905
187,90,1345,2765,2475,3055
188,90,1415,2765,2335,3195
189,90,1415,2765,2335,3195
190,90,1490,2765,2185,3345
191,90,1558,2765,2049,3481
192,90,1618,2765,2028,3502
193,90,1679,2765,2028,3502
194,90,1679,2765,2028,3502
195,90,1736,2765,2028,3502
196,90,1790,2765,2028,3502
197,90,1853,2765,2028,3502
198,90,1913,2765,2028,3502
199,90,1913,2765,2028,3502
200,79,1973,2765,2028,3502
201,79,2042,2765,2028,3502
202,79,2121,2765,2028,3502
203,79,2189,2765,2028,3502
204,79,2250,2765,2028,3502
205,79,2250,2765,2028,3502
206,79,2313,2765,2028,3502
207,79,2372,2765,2028,3502
208,79,2428,2765,2028,3502
209,79,2479,2765,2028,3502
210,79,2479,2765,2028,3502
211,79,2525,2765,2028,3502
212,79,2572,2765,2028,3502
213,79,2618,2765,2028,3502
214,79,2634,2765,2028,3502
215,79,2634,2765,2028,3502
216,79,2682,2765,2028,3502
217,79,2729,2765,2028,3502
218,79,2773,2765,2028,3502
219,79,2812,2765,2028,3502
220,79,2812,2765,2028,3502
221,79,2845,2765,2028,3502
222,79,2876,2765,2028,3502
223,79,2901,2765,2028,3502
224,79,2920,2765,2028,3502
225,71,2920,2765,2028,3502
226,71,2938,2765,2028,3502
227,71,2953,2765,2028,3502
228,71,2962,2765,2028,3502
229,71,2968,2765,2028,3502
230,71,2968,2765,2028,3502
231,71,2973,2765,2028,3502
232,71,2972,2765,2028,3502
233,71,2965,2765,2028,3502
234,71,2956,2765,2028,3502
235,71,2956,2765,2028,3502
236,71,2947,2765,2028,3502
237,71,2935,2765,2028,3502
238,71,2918,2765,2028,3502
239,71,2907,2765,2028,3502
240,71,2907,2765,2028,3502
241,71,2899,2765,2028,3502
242,71,2894,2765,2028,3502
243,71,2899,2765,2028,3502
244,71,2909,2765,2028,3502
245,71,2921,2765,2028,3502
246,71,2921,2765,2028,3502
247,71,2927,2765,2028,3502
248,71,2928,2765,2028,3502
249,71,2931,2765,2028,3502
250,78,2931,2765,2028,3502
251,78,2931,2765,2028,3502
252,78,2928,2765,2028,3502
253,78,2923,2765,2028,3502
254,78,2914,2765,2028,3502
255,78,2909,2765,2028,3502
256,78,2909,2765,2028,3502
257,78,2903,2765,2028,3502
258,78,2900,2765,2028,3502
259,78,2899,2765,2028,3502
260,78,2895,2765,2028,3502
261,78,2895,2765,2028,3502
262,78,2892,2765,2028,3502
263,78,2884,2765,2028,3502
264,78,2870,2765,2028,3502
265,78,2852,2765,2028,3502
266,78,2852,2765,2028,3502
267,78,2828,2765,2028,3502
268,78,2802,2765,2028,3502
269,78,2776,2765,2028,3502
270,78,2748,2765,2028,3502
271,78,2748,2765,2028,3502
272,78,2711,2765,2028,3502
273,78,2668,2765,2028,3502
274,78,2623,2765,2028,3502
275,73,2612,2765,2028,3502
276,73,2612,2765,2028,3502
277,73,2578,2765,2028,3502
278,73,2537,2765,2028,3502
279,73,2499,2765,2028,3502
280,73,2458,2765,2028,3502
281,73,2412,2765,2028,3502
282,73,2412,2765,2028,3502
283,73,2362,2765,2028,3502
284,73,2309,2765,2028,3502
285,73,2253,2765,2028,3502
286,73,2193,2765,2028,3502
287,73,2193,2765,2028,3502
288,73,2132,2765,2028,3502
289,73,2071,2765,2028,3502
290,73,2012,2765,2028,3502
291,73,1959,2765,2028,3502
292,73,1959,2765,2028,3502
293,73,1912,2765,2028,3502
294,73,1867,2765,2028,3502
295,73,1821,2765,2028,3502
296,73,1799,2765,2028,3502
297,73,1799,2765,2028,3502
298,73,1801,2765,2028,3502
299,73,1802,2765,2028,3502
300,67,1792,2765,2028,3502
301,67,1780,2765,2028,3502
302,67,1780,2765,2028,3502
303,67,1775,2765,2028,3502
304,67,1776,2765,2028,3502
305,67,1782,2765,2028,3502
306,67,1784,2765,2028,3502
307,67,1784,2765,2028,3502
308,67,1781,2765,2028,3502
309,67,1776,2765,2028,3502
310,67,1775,2765,2028,3502
311,67,1779,2765,2028,3502
312,67,1779,2765,2028,3502
313,67,1780,2765,2028,3502
314,67,1777,2765,2028,3502
315,67,1774,2765,2028,3502
316,67,1773,2765,2028,3502
317,67,1773,2765,2028,3502
318,67,1773,2765,2028,3502
319,67,1772,2765,2028,3502
320,67,1767,2765,2028,3502
321,67,1769,2765,2028,3502
322,67,1769,2765,2028,3502
323,67,1777,2765,2028,3502
324,67,1797,2765,2028,3502
