TIME,TARGET_HEADING,CURRENT_HEADING,TAIL_FAN_PW,LEFT_FAN_PW,RIGHT_FAN_PW,HEADING_ERROR
1428,1560,1409,2765,3502,2028,151
1429,1560,1421,2765,2028,3502,139
1430,1560,1437,2765,2028,3502,123
1431,1560,1450,2765,2028,3502,110
1432,1560,1456,2765,2028,3502,104
1433,1560,1470,2765,2028,3502,90
1434,1560,1488,2765,2028,3502,72
1435,1560,1505,2765,2028,3502,55
1436,1560,1522,2765,2028,3502,38
1437,1560,1539,2765,2028,3502,21
1438,1560,1539,2765,3502,2028,21
1440,1560,1581,2765,2028,3502,-21
1441,1560,1599,2765,2028,3502,-39
1442,1560,1611,2765,2028,3502,-51
1443,1560,1630,2765,2028,3502,-70
1444,1560,1649,2765,2028,3502,-89
1445,1560,1666,2765,2028,3502,-106
1446,1560,1688,2765,2028,3502,-128
1447,1560,1708,2765,2028,3502,-148
1448,1560,1708,2765,2028,3502,-148
1449,1560,1726,2765,2028,3502,-166
1450,1560,1741,2765,2028,3502,-181
1451,1560,1758,2765,2028,3502,-198
1452,1560,1776,2765,2028,3502,-216
1453,1560,1796,2765,2028,3502,-236
1454,1560,1811,2765,2028,3502,-251
1455,1560,1822,2765,2028,3502,-262
1456,1560,1837,2765,2028,3502,-277
1457,1560,1850,2765,2028,3502,-290
1458,1560,1850,2765,2028,3502,-290
1459,1560,1859,2765,2028,3502,-299
1460,1560,1866,2765,2028,3502,-306
1461,1560,1873,2765,2028,3502,-313
1462,1560,1878,2765,2028,3502,-318
1463,1560,1874,2765,2028,3502,-314
1464,1560,1874,2765,2028,3502,-314
1465,1560,1873,2765,2028,3502,-313
1466,1560,1868,2765,2028,3502,-308
1467,1560,1864,2765,2028,3502,-304
1468,1560,1864,2765,2028,3502,-304
1469,1560,1855,2765,2028,3502,-295
1470,1560,1843,2765,3502,2028,-283
1471,1560,1831,2765,3502,2028,-271
1472,1560,1814,2765,3502,2028,-254
1473,1560,1799,2765,3502,2028,-239
1474,1560,1777,2765,3502,2028,-217
1475,1560,1754,2765,3502,2028,-194
1476,1560,1735,2765,3502,2028,-175
