TIME,DISTANCE,TARGET_HEADING,CURRENT_HEADING_1,TAIL_FAN_PW,LEFT_FAN_PW,RIGHT_FAN_PW,HEADING_ERROR,CURRENT_HEADING
20,0,600,729,2028,2028,3502,-129,729
40,0,600,763,2028,2028,3502,-163,763
60,0,600,723,3502,3502,2028,-123,723
80,0,600,631,2028,2028,3502,-31,631
100,0,600,705,2028,2028,3502,-105,705
120,0,600,626,3502,3502,2028,-26,626
140,0,600,550,3502,3502,2028,50,550
160,0,600,619,2028,2028,3502,-19,619
180,0,600,618,3502,3502,2028,-18,618
200,0,600,542,3502,3502,2028,58,542
220,0,600,609,2028,2028,3502,-9,609
240,0,600,619,3502,3502,2028,-19,619
260,0,600,550,3502,3502,2028,50,550
280,0,600,614,2028,2028,3502,-14,614
300,0,600,713,2028,2028,3502,-113,713
320,0,600,588,3502,3502,2028,12,588
340,0,600,562,2028,2028,3502,38,562
360,0,600,697,2028,2028,3502,-97,697
380,0,600,661,3502,3502,2028,-61,661
400,0,600,546,3502,3502,2028,54,546
420,0,600,583,2028,2028,3502,17,583
440,0,600,655,2028,2028,3502,-55,655
460,0,600,559,3502,3502,2028,41,559
480,0,600,527,2028,2028,3502,73,527
500,0,600,626,2028,2028,3502,-26,626
520,0,600,618,3502,3502,2028,-18,618
540,0,600,514,3502,3502,2028,86,514
560,0,600,571,2028,2028,3502,29,571
580,0,600,737,2028,2028,3502,-137,737
600,0,600,691,3502,3502,2028,-91,691
620,0,600,511,3502,3502,2028,89,511
640,0,600,504,2028,2028,3502,96,504
660,0,600,639,2028,2028,3502,-39,639
680,0,600,624,3502,3502,2028,-24,624
700,0,600,567,2028,2028,3502,33,567
720,0,600,650,2028,2028,3502,-50,650
740,0,600,722,3502,3502,2028,-122,722
760,0,600,599,3502,3502,2028,1,599
780,0,600,597,2028,2028,3502,3,597
800,0,600,665,2028,2028,3502,-65,665
820,0,600,581,3502,3502,2028,19,581
840,0,600,539,2028,2028,3502,61,539
860,0,600,625,2028,2028,3502,-25,625
880,0,600,583,3502,3502,2028,17,583
900,0,600,532,3502,3502,2028,68,532
920,0,600,640,2028,2028,3502,-40,640
940,0,600,694,3502,3502,2028,-94,694
960,0,600,561,3502,3502,2028,39,561
980,0,600,581,2028,2028,3502,19,581
1000,0,600,701,2028,2028,3502,-101,701
1020,0,1800,626,2765,3502,2028,1174,532.1
1040,0,1800,577,2765,3502,2028,1223,490.45
1060,0,1800,707,2765,3502,2028,1093,600.95
1080,0,1800,993,2765,2028,3502,807,844.05
1100,0,1800,1523,2765,2028,3502,277,1294.55
1120,0,1800,1991,2765,2028,3502,-191,1692.35
1140,0,1800,2060,2765,3502,2028,-260,1751
1160,0,1800,1863,2765,3502,2028,-63,1583.55
1180,0,1800,1804,2765,2028,3502,-4,1533.4
1200,0,1800,1884,2765,2028,3502,-84,1601.4
1220,0,1800,1783,2765,3502,2028,17,1604.7
1240,0,1800,1684,2765,2028,3502,116,1515.6
1260,0,1800,1817,2765,2028,3502,-17,1635.3
