TIME,DISTANCE,TARGET_HEADING,CURRENT_HEADING,TAIL_FAN_PW,LEFT_FAN_PW,RIGHT_FAN_PW,HEADING_ERROR
20,0,600,797,2028,2028,3502,-197
40,0,600,821,2028,2028,3502,-221
60,0,600,705,3502,3502,2028,-105
80,0,600,650,2028,2028,3502,-50
100,0,600,780,2028,2028,3502,-180
120,0,600,700,3502,3502,2028,-100
140,0,600,555,3502,3502,2028,45
160,0,600,629,2028,2028,3502,-29
180,0,600,744,2028,2028,3502,-144
200,0,600,595,3502,3502,2028,5
220,0,600,511,2028,2028,3502,89
240,0,600,603,2028,2028,3502,-3
260,0,600,561,3502,3502,2028,39
280,0,600,504,2028,2028,3502,96
300,0,600,607,2028,2028,3502,-7
320,0,600,663,3502,3502,2028,-63
340,0,600,545,3502,3502,2028,55
360,0,600,564,2028,2028,3502,36
380,0,600,667,2028,2028,3502,-67
400,0,600,594,3502,3502,2028,6
420,0,600,520,3502,3502,2028,80
440,0,600,635,2028,2028,3502,-35
460,0,600,633,3502,3502,2028,-33
480,0,600,521,3502,3502,2028,79
500,0,600,571,2028,2028,3502,29
520,0,600,711,2028,2028,3502,-111
540,0,600,586,3502,3502,2028,14
560,0,600,469,3502,3502,2028,131
580,0,600,571,2028,2028,3502,29
600,0,600,654,2028,2028,3502,-54
620,0,600,550,3502,3502,2028,50
640,0,600,520,2028,2028,3502,80
660,0,600,668,2028,2028,3502,-68
680,0,600,662,3502,3502,2028,-62
700,0,600,553,3502,3502,2028,47
720,0,600,623,2028,2028,3502,-23
740,0,600,667,3502,3502,2028,-67
760,0,600,542,3502,3502,2028,58
780,0,600,534,2028,2028,3502,66
800,0,600,656,2028,2028,3502,-56
820,0,600,609,3502,3502,2028,-9
840,0,600,552,2028,2028,3502,48
860,0,600,642,2028,2028,3502,-42
880,0,600,611,3502,3502,2028,-11
900,0,600,532,3502,3502,2028,68
920,0,600,631,2028,2028,3502,-31
940,0,600,703,3502,3502,2028,-103
960,0,600,538,3502,3502,2028,62
980,0,600,521,2028,2028,3502,79
1000,0,600,650,2028,2028,3502,-50
1020,0,1800,732,2765,3502,2028,1068
1040,0,1800,785,2765,3502,2028,1015
1060,0,1800,1021,2765,3502,2028,779
1080,0,1800,1509,2765,2028,3502,291
1100,0,1800,1903,2765,2028,3502,-103
1120,0,1800,1824,2765,3502,2028,-24
1140,0,1800,1693,2765,3502,2028,107
1160,0,1800,1852,2765,2028,3502,-52
1180,0,1800,1982,2765,2028,3502,-182
1200,0,1800,1820,2765,3502,2028,-20
1220,0,1800,1639,2765,3502,2028,161
1240,0,1800,1812,2765,2028,3502,-12
1260,0,1800,1913,2765,3502,2028,-113
1280,0,1800,1822,2765,3502,2028,-22
1300,0,1800,1875,2765,2028,3502,-75
1320,0,1800,1925,2765,3502,2028,-125
1340,0,1800,1790,2765,3502,2028,10
1360,0,1800,1783,2765,2028,3502,17
1380,0,1800,1911,2765,2028,3502,-111
1400,0,1800,1785,2765,3502,2028,15
1420,0,1800,1620,2765,3502,2028,180
1440,0,1800,1771,2765,2028,3502,29
1460,0,1800,1992,2765,2028,3502,-192
1480,0,1800,1892,2765,3502,2028,-92
1500,0,1800,1677,2765,3502,2028,123
1520,0,1800,1749,2765,2028,3502,51
1540,0,1800,1921,2765,2028,3502,-121
1560,0,1800,1829,2765,3502,2028,-29
1580,0,1800,1785,2765,2028,3502,15
1600,0,1800,1913,2765,2028,3502,-113
1620,0,1800,1834,2765,3502,2028,-34
1640,0,1800,1729,2765,2028,3502,71
1660,0,1800,1895,2765,2028,3502,-95
1680,0,1800,1951,2765,2028,3502,-151
1700,0,1800,1778,2765,3502,2028,22
1720,0,1800,1746,2765,2028,3502,54
1740,0,1800,1902,2765,2028,3502,-102
1760,0,1800,1832,2765,3502,2028,-32
1780,0,1800,1658,2765,3502,2028,142
1800,0,1800,1788,2765,2028,3502,12
1820,0,1800,1953,2765,2028,3502,-153
1840,0,1800,1822,2765,3502,2028,-22
1860,0,1800,1695,2765,2028,3502,105
1880,0,1800,1838,2765,2028,3502,-38
1900,0,1800,1856,2765,3502,2028,-56
1920,0,1800,1793,2765,2028,3502,7
1940,0,1800,1900,2765,2028,3502,-100
1960,0,1800,1878,2765,3502,2028,-78
1980,0,1800,1714,2765,3502,2028,86
2000,0,1800,1815,2765,2028,3502,-15
2020,0,3000,2023,3502,2765,2765,977
2040,0,3000,2307,2028,2765,2765,693
2060,0,3000,2633,2028,2765,2765,367
2080,0,3000,2842,2028,2765,2765,158
2100,0,3000,2988,2028,2765,2765,12
2120,0,3000,3072,2028,2765,2765,-72
2140,0,3000,3085,2028,2765,2765,-85
2160,0,3000,3046,3502,2765,2765,-46
2180,0,3000,2997,3502,2765,2765,3
2200,0,3000,3019,2028,2765,2765,-19
2220,0,3000,3018,3502,2765,2765,-18
2240,0,3000,2997,3502,2765,2765,3
2260,0,3000,3000,2028,2765,2765,0
2280,0,3000,3000,3502,2765,2765,0
2300,0,3000,2984,3502,2765,2765,16
2320,0,3000,2993,2028,2765,2765,7
2340,0,3000,2978,3502,2765,2765,22
2360,0,3000,2980,2028,2765,2765,20
2380,0,3000,2940,3502,2765,2765,60
2400,0,3000,2811,3502,2765,2765,189
2420,0,3000,2807,3502,2765,2765,193
2440,0,3000,2827,3502,2765,2765,173
